seqName,samplingDate
hCoV-19/USA/AL-Mobile-SL-21052660014/2021/EPI_ISL_2941510/2021-05-26,2021-05-26
hCoV-19/USA/FL-CDC-LC0069004/2021/EPI_ISL_2611370/2021-06-06,2021-06-06
hCoV-19/USA/IN-CDC-LC0075397/2021/EPI_ISL_4380732/2021-06-08,2021-06-08
hCoV-19/USA/FL-CDC-2-4567599/2021/EPI_ISL_2840294/2021-06-14,2021-06-14
hCoV-19/USA/WI-WSLH-215663/2021/EPI_ISL_2727834/2021-06-15,2021-06-15
hCoV-19/USA/IL-CDC-LC0084581/2021/EPI_ISL_2927477/2021-06-21,2021-06-21
hCoV-19/USA/IN-INSPHL-02388/2021/EPI_ISL_2709454/2021-06-21,2021-06-21
hCoV-19/USA/KY-KSPHL-100912/2021/EPI_ISL_4459219/2021-06-22,2021-06-22
hCoV-19/USA/FL-CDC-ASC210153836/2021/EPI_ISL_2875641/2021-06-23,2021-06-23
hCoV-19/USA/VA-DCLS-5758/2021/EPI_ISL_3025848/2021-06-27,2021-06-27
hCoV-19/USA/KY-KSPHL-100961/2021/EPI_ISL_4419044/2021-07-01,2021-07-01
hCoV-19/USA/IL-S21WGS2410/2021/EPI_ISL_2983678/2021-07-02,2021-07-02
hCoV-19/USA/TX-CDC-QDX26488161/2021/EPI_ISL_3114119/2021-07-03,2021-07-03
hCoV-19/Canada/UN-128020/2021/EPI_ISL_12388563/2021-07-06,2021-07-06
hCoV-19/USA/FL-TGH-1007/2021/EPI_ISL_3020324/2021-07-10,2021-07-10
hCoV-19/USA/KS-CDC-ASC210156254/2021/EPI_ISL_3322506/2021-07-13,2021-07-13
hCoV-19/USA/FL-CDC-LC0099054/2021/EPI_ISL_3329499/2021-07-14,2021-07-14
hCoV-19/USA/UT-UPHL-210729379219/2021/EPI_ISL_3263403/2021-07-14,2021-07-14
hCoV-19/USA/GA-CDC-MMB09392373/2021/EPI_ISL_3427699/2021-07-16,2021-07-16
hCoV-19/USA/IA-SHL-1761286/2021/EPI_ISL_3398018/2021-07-17,2021-07-17
hCoV-19/USA/KY-KSPHL-101048/2021/EPI_ISL_4493278/2021-07-17,2021-07-17
hCoV-19/USA/OH-CDC-QDX27053395/2021/EPI_ISL_3352647/2021-07-18,2021-07-18
hCoV-19/USA/OH-CDC-LC0169700/2021/EPI_ISL_3686400/2021-07-19,2021-07-19
hCoV-19/USA/LA-CDC-LC0122849/2021/EPI_ISL_4154596/2021-07-20,2021-07-20
hCoV-19/USA/GA-CDC-MMB09430626/2021/EPI_ISL_3428232/2021-07-21,2021-07-21
hCoV-19/USA/IN-CDC-MMB09441889/2021/EPI_ISL_4345069/2021-07-21,2021-07-21
hCoV-19/USA/LA-CDC-ASC210240878/2021/EPI_ISL_4360287/2021-07-22,2021-07-22
hCoV-19/USA/GA-CDC-QDX27127362/2021/EPI_ISL_3396295/2021-07-24,2021-07-24
hCoV-19/USA/NJ-CDC-LC0132029/2021/EPI_ISL_4157002/2021-07-24,2021-07-24
hCoV-19/USA/NV-QDX-27169177/2021/EPI_ISL_3395225/2021-07-24,2021-07-24
hCoV-19/USA/IL-S21WGS3211/2021/EPI_ISL_3371548/2021-07-25,2021-07-25
hCoV-19/USA/MT-CDC-STM-000711004/2021/EPI_ISL_6489345/2021-07-25,2021-07-25
hCoV-19/USA/NC-CDC-LC0145832/2021/EPI_ISL_3515770/2021-07-28,2021-07-28
hCoV-19/USA/NY-CDC-FG-055151/2021/EPI_ISL_3345123/2021-07-28,2021-07-28
hCoV-19/USA/SD-USAFSAM-S4925/2021/EPI_ISL_4078950/2021-07-28,2021-07-28
hCoV-19/USA/RI-CDC-2-4812791/2021/EPI_ISL_4186895/2021-07-30,2021-07-30
hCoV-19/USA/MN-UMGC-9143/2021/EPI_ISL_4009027/2021-08-01,2021-08-01
hCoV-19/USA/MS-CDC-LC0155490/2021/EPI_ISL_3604642/2021-08-01,2021-08-01
hCoV-19/USA/RI-RISHL-079225/2021/EPI_ISL_4011238/2021-08-01,2021-08-01
hCoV-19/USA/GA-CDC-LC0157775/2021/EPI_ISL_3606083/2021-08-02,2021-08-02
hCoV-19/USA/MO-MSPHL-003504/2021/EPI_ISL_3503750/2021-08-02,2021-08-02
hCoV-19/USA/NJ-PHEL-V21006551/2021/EPI_ISL_3672216/2021-08-02,2021-08-02
hCoV-19/USA/MA-NEIDL-01710/2021/EPI_ISL_8158615/2021-08-03,2021-08-03
hCoV-19/USA/WI-UW-5538/2021/EPI_ISL_3695845/2021-08-04,2021-08-04
hCoV-19/USA/NJ-CDC-LC0177039/2021/EPI_ISL_3745724/2021-08-05,2021-08-05
hCoV-19/USA/IN-INSPHL-08149/2021/EPI_ISL_6332973/2021-08-06,2021-08-06
hCoV-19/USA/GA-CDC-LC0177960/2021/EPI_ISL_3746587/2021-08-07,2021-08-07
hCoV-19/USA/MI-MDHHS-SC32419/2021/EPI_ISL_3922606/2021-08-07,2021-08-07
hCoV-19/USA/UT-CDC-LC0180592/2021/EPI_ISL_3749647/2021-08-08,2021-08-08
hCoV-19/USA/AR-CDC-LC0185976/2021/EPI_ISL_3751032/2021-08-09,2021-08-09
hCoV-19/USA/NC-CDC-MMB09649309/2021/EPI_ISL_4195672/2021-08-09,2021-08-09
hCoV-19/USA/KS-KHEL-4532/2021/EPI_ISL_3375608/2021-08-10,2021-08-10
hCoV-19/USA/ME-HETL-J6321/2021/EPI_ISL_3800416/2021-08-10,2021-08-10
hCoV-19/USA/MT-USAFSAM-S5548/2021/EPI_ISL_4001556/2021-08-10,2021-08-10
